no_of_employees,prevailing_wage,unit_of_wage,company_age,wage_per_year,wage_employee_ratio,employees_growth_rate_ratio,wage_per_age_ratio,case_status_encoded,education_level_ordinal,establishment_period_ordinal,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,has_job_experience_encoded,requires_job_training_encoded,full_time_position_encoded,region_target_encoded,prevailing_wage_log,no_of_employees_log
1809.0,218315.56125000003,Year,15.0,218315.56125000003,120.68,120.6,14554.37,1,3,2,0,1,0,0,0,0,0,0,0,0.7,12.293696823781252,7.501082124259871
5512.0,92421.92,Year,24.0,92421.92,16.77,229.67,3850.91,0,1,3,0,1,0,0,0,0,1,0,1,0.63,11.434119458932551,8.614864218589684
2520.0,2490.12,Year,44.0,2490.12,0.99,57.27,56.59,0,1,4,0,0,1,0,0,0,1,0,1,0.62,7.8200861810686035,7.83241092718792
44.0,110817.26,Year,60.0,110817.26,2518.57,0.73,1846.95,1,3,4,0,0,1,0,0,0,1,1,1,0.7,11.615637817336758,3.8066624897703196
2206.0,50960.01,Year,92.5,50960.01,23.1,23.85,550.92,1,2,5,0,1,0,0,0,0,1,1,1,0.63,10.838796486478365,7.699389406256737
3729.0,125336.9,Year,18.0,125336.9,33.61,207.17,6963.16,1,3,2,0,1,0,0,0,0,0,0,1,0.76,11.738760590745825,8.224163512637862
3723.0,39633.32,Year,14.0,39633.32,10.65,265.93,2830.95,1,2,2,0,1,0,0,0,0,1,0,1,0.62,10.58742545759355,8.222553638396958
1209.0,156326.33,Year,36.0,156326.33,129.3,33.58,4342.4,1,3,3,0,1,0,0,0,0,1,0,0,0.63,11.959700960315507,7.098375638590786
7227.0,43630.58,Year,20.0,43630.58,6.04,361.35,2181.53,1,4,2,0,0,1,0,0,0,1,0,1,0.62,10.683513559634614,8.885717651712119
2582.0,54614.42,Year,36.0,54614.42,21.15,71.72,1517.07,1,3,3,0,0,0,1,0,0,1,0,1,0.7,10.908053229428155,7.8567067930958405
5407.0,28989.87,Year,27.0,28989.87,5.36,200.26,1073.7,0,1,3,0,1,0,0,0,0,1,0,1,0.62,10.274701737600713,8.5956346177228
2092.0,22924.91,Year,27.0,22924.91,10.96,77.48,849.07,1,2,3,0,0,1,0,0,0,0,1,1,0.7,10.039979371271812,7.646353722445999
2623.0,61567.75,Year,17.0,61567.75,23.47,154.29,3621.63,1,2,2,0,1,0,0,0,0,1,0,1,0.7,11.027893473466198,7.8724551500639794
226.0,156251.17,Year,34.0,156251.17,691.38,6.65,4595.62,1,1,3,0,1,0,0,0,0,1,0,1,0.76,11.959220055570613,5.424950017481403
2405.0,86022.02,Year,92.0,86022.02,35.77,26.14,935.02,1,2,5,0,1,0,0,0,0,1,0,1,0.7,11.36235858897296,7.785720896534624
2171.0,49565.37,Year,65.0,49565.37,22.83,33.4,762.54,0,4,4,0,1,0,0,0,0,0,1,1,0.63,10.811047683384157,7.683403681053826
746.0,66191.41,Year,34.0,66191.41,88.73,21.94,1946.81,1,2,3,0,1,0,0,0,0,0,0,1,0.76,11.100305975197605,6.616065185132817
3129.0,95623.2,Year,22.0,95623.2,30.56,142.23,4346.51,1,3,2,0,1,0,0,0,0,1,0,0,0.76,11.46817074742226,8.048788283534199
1647.0,115014.05,Year,27.0,115014.05,69.83,61.0,4259.78,1,2,3,0,1,0,0,0,0,0,0,1,0.76,11.652809573795805,7.4073177104694174
2438.0,35018.04,Year,49.0,35018.04,14.36,49.76,714.65,1,1,4,0,1,0,0,0,0,1,0,1,0.76,10.4636186362553,7.79934339821592
7227.0,230.8072,Hour,30.0,480078.97599999997,66.43,240.9,16002.63,1,3,3,0,1,0,0,0,0,1,0,1,0.63,5.441582729987919,8.885717651712119
2368.0,113799.64,Year,27.0,113799.64,48.06,87.7,4214.8,1,3,3,0,1,0,0,0,0,1,0,1,0.63,11.642194637224724,7.7702232041587855
779.0,85854.09,Year,31.0,85854.09,110.21,25.13,2769.49,1,2,3,0,0,1,0,0,0,1,1,1,0.62,11.360404506425526,6.659293919683638
2825.0,14174.04,Year,29.0,14174.04,5.02,97.41,488.76,1,2,3,0,1,0,0,0,0,1,0,1,0.63,9.559167401434795,7.946617563244473
3510.0,47176.84,Year,18.0,47176.84,13.44,195.0,2620.94,1,2,2,0,0,1,0,0,0,0,0,1,0.62,10.761658373185718,8.163656176168432
2624.0,4949.28,Year,13.0,4949.28,1.89,201.85,380.71,1,4,1,0,1,0,0,0,0,0,0,1,0.76,8.506997390437743,7.872836175025724
5340.0,67410.59,Year,15.0,67410.59,12.62,356.0,4494.04,0,3,2,0,1,0,0,0,0,0,1,1,0.62,11.118557406219804,8.58316818033977
2311.0,58791.58,Year,31.0,58791.58,25.44,74.55,1896.5,1,4,3,0,0,1,0,0,0,1,1,1,0.76,10.981753926354097,7.7458682297922685
5110.0,103.2216,Hour,21.0,214700.92799999999,42.02,243.33,10223.85,0,1,2,0,1,0,0,0,0,0,0,1,0.62,4.636878133472368,8.53915035876828
1316.0,62591.57,Year,30.0,62591.57,47.56,43.87,2086.39,1,2,3,0,0,1,0,0,0,1,0,1,0.7,11.044385883483367,7.183111701743281
100.0,102919.59,Year,24.0,102919.59,1029.2,4.17,4288.32,0,3,3,0,1,0,0,0,0,0,0,1,0.63,11.541703282711104,4.61512051684126
2021.0,123468.56,Year,18.0,123468.56,61.09,112.28,6859.36,1,3,2,0,1,0,0,0,0,1,0,1,0.76,11.723741827741692,7.611842399580417
80.0,82324.64,Year,57.0,82324.64,1029.06,1.4,1444.29,0,2,4,0,0,0,1,0,0,0,0,0,0.62,11.318425734322766,4.394449154672439
2070.0,5319.49,Year,92.5,5319.49,2.57,22.38,57.51,1,4,5,0,0,1,0,0,0,1,0,1,0.62,8.579132713078726,7.635786861395585
2654.0,153019.94,Year,12.0,153019.94,57.66,221.17,12751.66,1,2,1,0,1,0,0,0,0,1,1,1,0.76,11.938323518680159,7.884199933676039
292.0,38059.89,Year,20.0,38059.89,130.34,14.6,1902.99,1,3,2,0,1,0,0,0,0,1,0,1,0.7,10.546916250672554,5.680172609017068
1320.0,230.327,Hour,24.0,479080.16,362.94,55.0,19961.67,0,1,3,0,1,0,0,0,0,1,0,1,0.63,5.439500038339473,7.186144304522325
1722.0,61521.92,Year,18.0,61521.92,35.73,95.67,3417.88,1,1,2,0,1,0,0,0,0,1,0,1,0.7,11.027148813055332,7.45182223652793
3339.0,121316.5,Year,90.0,121316.5,36.33,37.1,1347.96,0,2,5,0,0,1,0,0,0,1,0,1,0.63,11.706158112062266,8.113726085970747
452.0,122540.55,Year,92.5,122540.55,271.11,4.89,1324.76,1,3,5,0,1,0,0,0,0,1,0,1,0.7,11.716197274599914,6.115892125483034
3705.0,47170.76,Year,24.0,47170.76,12.73,154.38,1965.45,1,3,3,1,0,0,0,0,0,1,0,1,0.7,10.761529488084063,8.217708406845306
85.0,330.3743,Hour,26.0,687178.544,8084.45,3.27,26429.94,0,2,3,0,0,0,1,0,0,0,0,1,0.63,5.80022625411782,4.454347296253507
2423.0,2927.34,Year,92.5,2927.34,1.21,26.19,31.65,1,2,5,0,0,1,0,0,0,1,0,1,0.62,7.981849439836521,7.793174347189205
1274.0,107781.48,Year,26.0,107781.48,84.6,49.0,4145.44,1,2,3,0,1,0,0,0,0,1,0,1,0.7,11.587861123068844,7.150701457592526
1549.0,590.0203,Hour,24.0,1227242.224,792.28,64.54,51135.09,1,3,3,0,0,0,1,0,0,0,0,1,0.7,6.380156943087527,7.346010209913293
1062.0,194176.83,Year,27.0,194176.83,182.84,39.33,7191.73,0,1,3,0,1,0,0,0,0,0,1,1,0.62,12.176524517731657,6.968850378341948
7227.0,102073.81,Year,78.0,102073.81,14.12,92.65,1308.64,1,2,5,0,1,0,0,0,0,1,0,1,0.7,11.533451458025283,8.885717651712119
4036.0,113882.38,Year,24.0,113882.38,28.22,168.17,4745.1,1,3,3,0,1,0,0,0,0,1,0,1,0.7,11.64292144036572,8.30325712085294
39.0,70778.82,Year,25.0,70778.82,1814.84,1.56,2831.15,0,1,3,0,1,0,0,0,0,1,0,1,0.62,11.167315082384391,3.6888794541139363
2359.0,84125.48,Year,18.0,84125.48,35.66,131.06,4673.64,1,2,2,0,1,0,0,0,0,1,0,1,0.63,11.340064772725698,7.7664168980196555
1023.0,174014.59,Year,23.0,174014.59,170.1,44.48,7565.85,1,3,2,0,1,0,0,0,0,1,1,1,0.7,12.066894425256116,6.931471805599453
2480.0,34213.17,Year,44.0,34213.17,13.8,56.36,777.57,1,3,4,0,1,0,0,0,0,1,0,1,0.63,10.440365936642749,7.816416983691801
1255.0,79813.05,Year,36.0,79813.05,63.6,34.86,2217.03,0,1,3,0,1,0,0,0,0,0,0,0,0.63,11.287442303902287,7.135687347028144
4455.0,113327.34,Year,27.0,113327.34,25.44,165.0,4197.31,0,1,3,0,1,0,0,0,0,1,0,1,0.62,11.638035724172973,8.40200678160712
2543.0,78893.64,Year,86.0,78893.64,31.02,29.57,917.37,0,2,5,0,1,0,0,0,0,0,0,1,0.63,11.275855895219918,7.841492924460013
1359.0,140290.16,Year,17.0,140290.16,103.23,79.94,8252.36,1,2,2,0,1,0,0,0,0,1,0,1,0.62,11.851468128206857,7.215239978730097
2324.0,111926.01,Year,19.0,111926.01,48.16,122.32,5890.84,0,1,2,0,1,0,0,0,0,1,1,1,0.63,11.625593306968383,7.751475318021456
4103.0,125880.21,Year,21.0,125880.21,30.68,195.38,5994.3,0,2,2,0,0,0,1,0,0,0,0,1,0.63,11.743086019432432,8.319717386850606
3667.0,527.8901,Hour,55.0,1098011.4079999998,299.43,66.67,19963.84,0,2,4,0,1,0,0,0,0,0,0,1,0.63,6.268888118101911,8.207401833376355
488.0,49357.95,Year,15.0,49357.95,101.14,32.53,3290.53,1,1,2,0,1,0,0,0,0,0,0,1,0.76,10.80685412611227,6.192362489474872
2724.0,69335.2,Year,27.0,69335.2,25.45,100.89,2567.97,1,2,3,0,0,0,1,0,0,1,0,1,0.7,11.14670799272985,7.9102237070973445
1392.0,99737.18,Year,24.0,99737.18,71.65,58.0,4155.72,1,3,3,0,1,0,0,0,0,0,0,0,0.7,11.510293805189281,7.239214973779806
2573.0,91449.62,Year,48.0,91449.62,35.54,53.6,1905.2,0,2,4,0,0,0,1,0,0,1,0,1,0.63,11.423543498534272,7.853216388156072
3524.0,34494.86,Year,43.0,34494.86,9.79,81.95,802.21,1,2,3,0,0,0,1,0,0,1,0,1,0.76,10.448565606412762,8.16763571524637
1847.0,395.995,Hour,48.0,823669.6,445.95,38.48,17159.78,0,1,4,0,1,0,0,0,0,0,0,1,0.63,5.981401584912143,7.521859252201629
7227.0,159645.51,Year,55.0,159645.51,22.09,131.4,2902.65,0,3,4,0,1,0,0,0,0,0,0,1,0.62,11.980711073726145,8.885717651712119
2227.0,28243.79,Year,18.0,28243.79,12.68,123.72,1569.1,1,3,2,0,1,0,0,0,0,1,0,1,0.63,10.248628889401118,7.708859601047175
334.0,43421.88,Year,18.0,43421.88,130.01,18.56,2412.33,1,3,2,0,1,0,0,0,0,1,0,1,0.76,10.678718740514297,5.814130531825066
224.0,80253.78,Year,17.0,80253.78,358.28,13.18,4720.81,1,2,2,0,1,0,0,0,0,1,0,1,0.76,11.292949142686698,5.41610040220442
367.0,115235.95,Year,43.0,115235.95,313.99,8.53,2679.91,1,4,3,0,1,0,0,0,0,1,0,1,0.62,11.654737044533693,5.908082938168931
306.0,95200.86,Year,22.0,95200.86,311.11,13.91,4327.31,1,3,2,0,1,0,0,0,0,1,0,0,0.63,11.463744254352099,5.726847747587197
2317.0,41613.52,Year,30.0,41613.52,17.96,77.23,1387.12,1,4,3,0,0,0,1,0,0,1,0,1,0.6,10.636180393448294,7.748460023899697
890.0,64137.41,Year,44.0,64137.41,72.06,20.23,1457.67,0,2,4,0,1,0,0,0,0,0,0,1,0.62,11.068783092014,6.792344427470809
2002.0,66295.43,Year,19.0,66295.43,33.11,105.37,3489.23,1,2,2,0,1,0,0,0,0,1,0,1,0.7,11.101876244688128,7.602401335665818
2903.0,97520.02,Year,82.0,97520.02,33.59,35.4,1189.27,1,2,5,0,1,0,0,0,0,0,0,1,0.76,11.487812969241268,7.973844375944687
2504.0,65164.57,Year,24.0,65164.57,26.02,104.33,2715.19,1,2,3,0,1,0,0,0,0,1,0,1,0.62,11.084671195308813,7.826044013518965
951.0,73957.17,Year,69.0,73957.17,77.77,13.78,1071.84,1,1,4,0,0,0,1,0,0,1,0,0,0.76,11.211241420842532,6.858565034791365
1327.0,71415.43,Year,92.5,71415.43,53.82,14.35,772.06,1,3,5,0,1,0,0,0,0,1,0,1,0.62,11.17626923142262,7.191429330036379
2421.0,87336.53,Year,51.0,87336.53,36.07,47.47,1712.48,1,2,4,0,1,0,0,0,0,1,0,1,0.7,11.377524096458684,7.792348924113037
1019.0,98966.72,Week,20.0,5146269.44,5050.31,50.95,257313.47,1,1,2,0,0,0,1,0,0,1,0,1,0.7,11.502538910985583,6.927557906278317
1048.0,83503.6,Year,40.0,83503.6,79.68,26.2,2087.59,1,4,3,0,1,0,0,0,0,0,0,1,0.76,11.33264502368203,6.955592608396297
3323.0,57590.66,Year,20.0,57590.66,17.33,166.15,2879.53,1,3,2,0,1,0,0,0,0,0,0,1,0.76,10.961115680758022,8.10892415597534
509.0,32400.2,Week,28.0,1684810.4000000001,3310.04,18.18,60171.8,1,2,3,0,1,0,0,0,0,1,0,1,0.7,10.385919874600875,6.234410725718371
2225.0,65993.21,Year,49.0,65993.21,29.66,45.41,1346.8,1,3,4,0,0,0,1,0,0,1,1,1,0.63,11.097307136928299,7.70796153183549
1641.0,32161.6,Year,41.0,32161.6,19.6,40.02,784.43,1,2,3,0,1,0,0,0,0,1,0,1,0.76,10.37852847329913,7.403670290012373
1144.0,16421.37,Year,24.0,16421.37,14.35,47.67,684.22,0,3,3,0,1,0,0,0,0,0,0,1,0.63,9.706338814361493,7.0431599159883405
2334.0,160676.39,Year,54.0,160676.39,68.84,43.22,2975.49,1,3,4,0,0,0,1,0,0,0,0,0,0.7,11.987147621205645,7.755767170102998
1415.0,53114.02,Year,92.5,53114.02,37.54,15.3,574.21,0,2,5,0,0,0,0,0,1,0,0,1,0.63,10.880196202512035,7.255591274253665
2754.0,19176.21,Year,28.0,19176.21,6.96,98.36,684.86,1,4,3,0,1,0,0,0,0,1,1,1,0.7,9.861425727243242,7.9211727215870145
1099.0,204832.52,Year,20.0,204832.52,186.38,54.95,10241.63,0,3,2,0,0,0,1,0,0,0,0,0,0.62,12.229947948604341,7.003065458786462
960.0,40256.03,Year,13.0,40256.03,41.93,73.85,3096.62,1,3,1,0,1,0,0,0,0,1,0,1,0.63,10.603015085290359,6.8679744089702925
2750.0,38841.44,Year,28.0,38841.44,14.12,98.21,1387.19,1,3,3,0,0,0,1,0,0,1,0,1,0.62,10.567242996898221,7.919719760924575
2753.0,133052.84,Year,15.0,133052.84,48.33,183.53,8870.19,0,1,2,0,1,0,0,0,0,1,0,1,0.63,11.798501621536914,7.9208096792886
7227.0,75234.64,Year,18.0,75234.64,10.41,401.5,4179.7,1,2,2,0,0,0,1,0,0,1,0,0,0.7,11.228367042174552,8.885717651712119
2140.0,37032.83,Year,28.0,37032.83,17.31,76.43,1322.6,1,2,3,0,1,0,0,0,0,0,0,1,0.7,10.519560095508112,7.669028288589683
4499.0,61617.73,Year,17.0,61617.73,13.7,264.65,3624.57,0,2,2,0,1,0,0,0,0,0,0,1,0.63,11.028704932783361,8.411832675758411
2554.0,218315.56125000003,Year,20.0,218315.56125000003,85.48,127.7,10915.78,1,1,2,0,0,0,0,0,1,0,0,1,0.76,12.293696823781252,7.845807502637805
1333.0,341.0229,Hour,56.0,709327.632,532.13,23.8,12666.56,1,2,4,0,1,0,0,0,0,1,0,1,0.63,5.831949630453912,7.195937226475569
928.0,30570.95,Year,92.5,30570.95,32.94,10.03,330.5,1,4,5,0,1,0,0,0,0,0,0,1,0.7,10.32780549062054,6.834108738813838
4289.0,19477.1,Year,20.0,19477.1,4.54,214.45,973.85,1,4,2,0,1,0,0,0,0,1,0,1,0.76,9.876994695477643,8.364042011922063
7227.0,164893.0,Year,14.0,164893.0,22.82,516.21,11778.07,1,4,2,0,1,0,0,0,0,1,1,1,0.76,12.013052057676987,8.885717651712119
1948.0,131584.5,Year,23.0,131584.5,67.55,84.7,5721.07,1,3,2,0,1,0,0,0,0,1,0,1,0.7,11.787404509781593,7.575071699507561
1933.0,63896.35,Year,92.5,63896.35,33.06,20.9,690.77,1,3,5,0,1,0,0,0,0,1,0,1,0.63,11.065017518233406,7.56734567601324
2847.0,77883.22,Year,12.0,77883.22,27.36,237.25,6490.27,1,3,1,0,1,0,0,0,0,0,0,1,0.76,11.262965804291417,7.954372272531867
1195.0,108519.14,Year,92.5,108519.14,90.81,12.92,1173.18,1,2,5,0,1,0,0,0,0,1,0,1,0.76,11.59468184193498,7.086737934510577
54.0,47002.53,Year,37.0,47002.53,870.42,1.46,1270.34,1,3,3,0,1,0,0,0,0,1,0,0,0.7,10.757956709030658,4.007333185232471
4390.0,88720.29,Year,81.0,88720.29,20.21,54.2,1095.31,1,3,5,0,1,0,0,0,0,0,0,0,0.7,11.393243890729456,8.387312270561717
7227.0,60821.75,Year,21.0,60821.75,8.42,344.14,2896.27,1,3,2,0,1,0,0,0,0,1,0,1,0.76,11.015702734247201,8.885717651712119
545.0,66324.69,Year,92.5,66324.69,121.7,5.89,717.02,1,3,5,0,1,0,0,0,0,0,1,1,0.7,11.102317505041004,6.302618975744905
2831.0,100398.58,Year,48.0,100398.58,35.46,58.98,2091.64,1,4,4,0,1,0,0,0,0,1,0,1,0.7,11.516903342713452,7.94873845481361
1634.0,51282.75,Year,26.0,51282.75,31.38,62.85,1972.41,1,2,3,0,1,0,0,0,0,0,1,1,0.7,10.845109717301753,7.399398083331354
1810.0,13322.72,Year,82.0,13322.72,7.36,22.07,162.47,1,2,5,0,0,1,0,0,0,1,0,1,0.7,9.497226127451743,7.501634457883413
3290.0,357.8194,Hour,20.0,744264.352,226.22,164.5,37213.22,1,2,2,0,0,1,0,0,0,1,0,1,0.63,5.880028389839523,8.098946748943339
472.0,4787.43,Year,21.0,4787.43,10.14,22.48,227.97,1,3,2,0,1,0,0,0,0,1,0,1,0.62,8.473749011972085,6.159095388491933
4273.0,149023.92,Year,92.5,149023.92,34.88,46.19,1611.07,1,2,5,0,1,0,0,0,0,1,0,1,0.76,11.911862108955678,8.360305435879093
2326.0,123739.41,Year,92.0,123739.41,53.2,25.28,1344.99,0,3,5,0,1,0,0,0,0,0,0,1,0.62,11.725933101011547,7.752335163302292
7227.0,529.1105,Hour,50.0,1100549.84,152.28,144.54,22011.0,0,2,4,0,1,0,0,0,0,0,0,1,0.62,6.271197294733021,8.885717651712119
2261.0,68933.4,Year,59.0,68933.4,30.49,38.32,1168.36,1,3,4,0,0,1,0,0,0,1,0,1,0.76,11.140896100065822,7.724004656676065
255.0,412.3476,Hour,22.0,857683.008,3363.46,11.59,38985.59,0,1,2,0,1,0,0,0,0,1,0,1,0.63,6.021866682964136,5.545177444479562
373.0,128931.59,Year,16.0,128931.59,345.66,23.31,8058.22,1,3,2,0,1,0,0,0,0,1,0,0,0.7,11.767037232602169,5.924255797414532
22.0,37751.51,Year,26.0,37751.51,1715.98,0.85,1451.98,1,1,3,0,0,1,0,0,0,1,1,1,0.76,10.538780753877193,3.1354942159291497
3102.0,81781.43,Year,24.0,81781.43,26.36,129.25,3407.56,1,4,3,0,1,0,0,0,0,1,1,1,0.62,11.311805479703638,8.04012466444838
5147.0,6256.18,Year,28.0,6256.18,1.22,183.82,223.44,1,3,3,0,1,0,0,0,0,1,0,1,0.63,8.741325054189748,8.546363568716018
284.0,44539.97,Year,18.0,44539.97,156.83,15.78,2474.44,1,4,2,0,1,0,0,0,0,1,0,1,0.63,10.704142267259268,5.652489180268651
1926.0,104281.71,Year,92.5,104281.71,54.14,20.82,1127.37,1,3,5,0,0,0,1,0,0,1,0,1,0.62,11.554851266071793,7.563719668414366
2510.0,125323.7,Year,92.5,125323.7,49.93,27.14,1354.85,1,1,5,0,1,0,0,0,0,1,0,1,0.76,11.738655269047783,7.828436359157585
1200.0,81816.46,Year,12.0,81816.46,68.18,100.0,6818.04,1,4,1,0,0,1,0,0,0,1,1,1,0.76,11.312233724842196,7.0909098220799835
337.0,4027.85,Year,21.0,4027.85,11.95,16.05,191.8,1,2,2,0,0,1,0,0,0,1,0,1,0.62,8.300988013820325,5.823045895483019
2880.0,56117.39,Year,92.5,56117.39,19.49,31.14,606.67,1,4,5,0,0,0,1,0,0,1,0,0,0.7,10.935201025650928,7.9658927350845286
816.0,113212.16,Year,78.0,113212.16,138.74,10.46,1451.44,1,2,5,0,1,0,0,0,0,1,0,1,0.7,11.63701885947675,6.705639094860003
2640.0,47095.57,Year,16.0,47095.57,17.84,165.0,2943.47,1,3,2,0,1,0,0,0,0,1,0,1,0.62,10.759934220379343,7.878912912297133
4190.0,123437.12,Year,19.0,123437.12,29.46,220.53,6496.69,1,3,2,0,1,0,0,0,0,1,0,0,0.7,11.723487155591826,8.340694647925071
459.0,65894.51,Year,27.0,65894.51,143.56,17.0,2440.54,1,2,3,0,1,0,0,0,0,1,0,1,0.63,11.095810408977803,6.131226489483141
3351.0,174333.19,Year,32.0,174333.19,52.02,104.72,5447.91,0,1,3,0,1,0,0,0,0,1,0,1,0.63,12.06872363219888,8.117312461601975
3639.0,192.157,Hour,37.0,399686.56,109.83,98.35,10802.34,0,2,3,0,1,0,0,0,0,0,0,1,0.63,5.258312746219797,8.199738960630786
373.0,71825.63,Week,33.0,3734932.7600000002,10013.22,11.3,113179.78,0,3,3,0,1,0,0,0,0,0,0,1,0.62,11.1819966551282,5.924255797414532
201.0,50362.77,Year,43.0,50362.77,250.56,4.67,1171.23,1,2,3,0,0,1,0,0,0,0,0,1,0.7,10.827007490617026,5.308267697401205
5461.0,9078.62,Year,46.0,9078.62,1.66,118.72,197.36,1,2,4,0,0,0,0,0,1,1,0,1,0.63,9.113677477665993,8.60557030203365
